snapshot_date,club,club_clean,elo
2019-09-01,Akademija Pandev,akademija pandev,1119.19458008
2019-09-01,Alanyaspor,alanyaspor,1447.69226074
2019-09-01,Alashkert,alashkert,1162.70410156
2019-09-01,Albacete,albacete,1533.23278809
2019-09-01,Alcorcon,alcorcon,1455.5736084
2019-09-01,Alkmaar,alkmaar,1605.77246094
2019-09-01,Almeria,almeria,1548.26647949
2019-09-01,Altach,altach,1416.96520996
2019-09-01,Aluminij,aluminij,1239.42553711
2019-09-01,Anderlecht,anderlecht,1492.01135254
2019-09-01,Ankaraguecue,ankaraguecue,1391.7644043
2019-09-01,Antalyaspor,antalyaspor,1401.11462402
2019-09-01,Antwerp,antwerp,1515.49316406
2019-09-01,Apollon Lemesos,apollon lemesos,1557.11401367
2019-09-01,Ararat-Armenia,ararat-armenia,1131.75244141
2019-09-01,Arda,arda,1168.05749512
2019-09-01,Aris,aris,1390.06384277
2019-09-01,Arka,arka,1236.47021484
2019-09-01,Ascoli,ascoli,1350.93701172
2019-09-01,Ashdod,ashdod,1181.83886719
2019-09-01,Asteras Tripolis,asteras tripolis,1370.61303711
2019-09-01,Astra,astra,1385.17785645
2019-09-01,Atromitos,atromitos,1448.45092773
2019-09-01,Aue,aue,1437.1036377
2019-09-01,Austria Wien,austria wien,1454.15246582
2019-09-01,Auxerre,auxerre,1365.98608398
2019-09-01,Aves,aves,1411.50366211
2019-09-01,B 36 Torshavn,b 36 torshavn,903.570922852
2019-09-01,Backa Topola,backa topola,1191.30773926
2019-09-01,Ballymena United,ballymena united,1054.58813477
2019-09-01,Balzan,balzan,1055.29284668
2019-09-01,Banants,banants,1091.05688477
2019-09-01,Banik Ostrava,banik ostrava,1350.09558105
2019-09-01,Barry Town,barry town,979.248291016
2019-09-01,Basel,basel,1611.73254395
2019-09-01,BATE,bate,1492.5402832
2019-09-01,Beer-Sheva,beer-sheva,1425.44873047
2019-09-01,Beitar,beitar,1303.05175781
2019-09-01,Belenenses,belenenses,1436.59838867
2019-09-01,Benevento,benevento,1448.30627441
2019-09-01,Benfica,benfica,1799.64257812
2019-09-01,Beroe Stara Zagora,beroe stara zagora,1339.13879395
2019-09-01,Besiktas,besiktas,1604.13452148
2019-09-01,Beveren,beveren,1349.36474609
2019-09-01,Bielefeld,bielefeld,1508.10058594
2019-09-01,Birmingham,birmingham,1506.50891113
2019-09-01,Blackburn,blackburn,1475.65429688
2019-09-01,Bnei Yehuda,bnei yehuda,1351.26855469
2019-09-01,Boavista,boavista,1500.77185059
2019-09-01,Bochum,bochum,1437.18798828
2019-09-01,Bodoe Glimt,bodoe glimt,1373.93017578
2019-09-01,Bohemians Praha,bohemians praha,1335.39672852
2019-09-01,Botev Plovdiv,botev plovdiv,1288.6652832
2019-09-01,Botev Vratsa,botev vratsa,1212.17248535
2019-09-01,Botosani,botosani,1395.47924805
2019-09-01,Braga,braga,1636.80883789
2019-09-01,Brann,brann,1376.71716309
2019-09-01,Bravo,bravo,1110.17114258
2019-09-01,Breidablik,breidablik,1150.55407715
2019-09-01,Brentford,brentford,1543.88232422
2019-09-01,Brest,brest,1513.31066895
2019-09-01,Bristol City,bristol city,1554.88964844
2019-09-01,Brondby,brondby,1453.43933105
2019-09-01,Brugge,brugge,1688.03491211
2019-09-01,Bueyueksehir,bueyueksehir,1555.75952148
2019-09-01,Cadiz,cadiz,1577.46142578
2019-09-01,Caen,caen,1434.44494629
2019-09-01,Cardiff,cardiff,1591.13537598
2019-09-01,Celje,celje,1256.62451172
2019-09-01,Celtic,celtic,1601.11218262
2019-09-01,Cercle Brugge,cercle brugge,1310.11694336
2019-09-01,Ceske Budejovice,ceske budejovice,1276.15771484
2019-09-01,CFR Cluj,cfr cluj,1558.23583984
2019-09-01,Chambly Oise,chambly oise,1337.08605957
2019-09-01,Charleroi,charleroi,1533.43981934
2019-09-01,Charlton,charlton,1470.84313965
2019-09-01,Chateauroux,chateauroux,1353.7088623
2019-09-01,Cherno More,cherno more,1295.16259766
2019-09-01,Chievo,chievo,1436.92956543
2019-09-01,Chikhura,chikhura,1231.8046875
2019-09-01,Chindia Targoviste,chindia targoviste,1223.06396484
2019-09-01,Cittadella,cittadella,1410.89819336
2019-09-01,Clermont,clermont,1431.85754395
2019-09-01,Cliftonville,cliftonville,1062.4239502
2019-09-01,Clinceni,clinceni,1216.38623047
2019-09-01,College Europa,college europa,943.126464844
2019-09-01,Connahs Quay,connahs quay,1040.61328125
2019-09-01,Cork City,cork city,1177.82067871
2019-09-01,Cosenza,cosenza,1368.30639648
2019-09-01,Cracovia,cracovia,1328.17993164
2019-09-01,Craiova,craiova,1432.99047852
2019-09-01,Cremonese,cremonese,1399.44592285
2019-09-01,Crotone,crotone,1441.63989258
2019-09-01,Crusaders,crusaders,1068.16992188
2019-09-01,Crvena Zvezda,crvena zvezda,1683.83520508
2019-09-01,CSKA Moskva,cska moskva,1648.11914062
2019-09-01,CSKA Sofia,cska sofia,1453.30541992
2019-09-01,Cukaricki,cukaricki,1357.22045898
2019-09-01,Darmstadt,darmstadt,1457.52111816
2019-09-01,Debrecen,debrecen,1322.85791016
2019-09-01,Den Haag,den haag,1459.76928711
2019-09-01,Denizlispor,denizlispor,1378.43469238
2019-09-01,Depor,depor,1576.92285156
2019-09-01,Derby,derby,1556.83300781
2019-09-01,Desna,desna,1373.13952637
2019-09-01,Dinamo Brest,dinamo brest,1399.27563477
2019-09-01,Dinamo Bucuresti,dinamo bucuresti,1361.48156738
2019-09-01,Dinamo Minsk,dinamo minsk,1365.3515625
2019-09-01,Dinamo Tbilisi,dinamo tbilisi,1252.02661133
2019-09-01,Dinamo Zagreb,dinamo zagreb,1682.77893066
2019-09-01,Diosgyori,diosgyori,1217.26501465
2019-09-01,Djurgarden,djurgarden,1484.59460449
2019-09-01,Dnipro,dnipro,1349.13806152
2019-09-01,Domzale,domzale,1315.46142578
2019-09-01,Dresden,dresden,1431.90307617
2019-09-01,Dudelange,dudelange,1262.50390625
2019-09-01,Dunajska,dunajska,1364.78442383
2019-09-01,Dunav Ruse,dunav ruse,1195.54516602
2019-09-01,Dundalk,dundalk,1223.81030273
2019-09-01,Dynamo Kyiv,dynamo kyiv,1651.75439453
2019-09-01,Dynamo Moskva,dynamo moskva,1505.44116211
2019-09-01,Elche,elche,1485.44787598
2019-09-01,Elfsborg,elfsborg,1323.96923828
2019-09-01,Emmen,emmen,1348.0378418
2019-09-01,Empoli,empoli,1549.73303223
2019-09-01,Engordany,engordany,784.756469727
2019-09-01,Entella,entella,1381.953125
2019-09-01,Esbjerg,esbjerg,1322.63269043
2019-09-01,Eskilstuna,eskilstuna,1211.50427246
2019-09-01,Etar,etar,1281.96166992
2019-09-01,Eupen,eupen,1335.12414551
2019-09-01,Extremadura,extremadura,1480.38891602
2019-09-01,Falkenbergs,falkenbergs,1220.35668945
2019-09-01,Famalicao,famalicao,1433.95483398
2019-09-01,FC Infonet,fc infonet,999.675537109
2019-09-01,FC Kobenhavn,fc kobenhavn,1591.16625977
2019-09-01,FC Krasnodar,fc krasnodar,1656.63317871
2019-09-01,FC Lviv,fc lviv,1357.44360352
2019-09-01,Fenerbahce,fenerbahce,1546.18884277
2019-09-01,Ferencvaros,ferencvaros,1468.86108398
2019-09-01,Feronikeli,feronikeli,1040.22583008
2019-09-01,Feyenoord,feyenoord,1599.53881836
2019-09-01,FK Astana,fk astana,1510.1505127
2019-09-01,FK Minsk,fk minsk,1147.45056152
2019-09-01,FK Riga,fk riga,1209.47705078
2019-09-01,FK Sarajevo,fk sarajevo,1261.58703613
2019-09-01,FK Vitebsk,fk vitebsk,1207.03759766
2019-09-01,Flora Tallinn,flora tallinn,1015.06518555
2019-09-01,Fola Esch,fola esch,1168.28967285
2019-09-01,Forest,forest,1528.00769043
2019-09-01,Frosinone,frosinone,1439.3927002
2019-09-01,Fuenlabrada,fuenlabrada,1468.3494873
2019-09-01,Fuerth,fuerth,1433.41040039
2019-09-01,Fulham,fulham,1594.06884766
2019-09-01,Gabala,gabala,1317.6015625
2019-09-01,Galatasaray,galatasaray,1590.10253906
2019-09-01,Gaz Metan,gaz metan,1414.88415527
2019-09-01,Gaziantep FK,gaziantep fk,1346.63134766
2019-09-01,Genclerbirligi,genclerbirligi,1323.24475098
2019-09-01,Genk,genk,1635.61804199
2019-09-01,Gent,gent,1592.22167969
2019-09-01,Gil Vicente,gil vicente,1404.36474609
2019-09-01,Girona,girona,1613.72888184
2019-09-01,Goeteborg,goeteborg,1375.07116699
2019-09-01,Goeztepe,goeztepe,1391.45825195
2019-09-01,Gomel,gomel,1121.79589844
2019-09-01,Gornik,gornik,1298.28869629
2019-09-01,Gorodeya,gorodeya,1249.23413086
2019-09-01,Grenoble,grenoble,1355.07043457
2019-09-01,Groningen,groningen,1438.90869141
2019-09-01,Guimaraes,guimaraes,1532.35644531
2019-09-01,Guingamp,guingamp,1458.51611328
2019-09-01,Gzira United,gzira united,1043.39477539
2019-09-01,H Tel Aviv,h tel aviv,1264.74279785
2019-09-01,Haecken,haecken,1459.1842041
2019-09-01,Hajduk,hajduk,1506.19775391
2019-09-01,Hamburg,hamburg,1548.55871582
2019-09-01,Hamilton,hamilton,1177.01147461
2019-09-01,Hammarby,hammarby,1446.40332031
2019-09-01,Hannover,hannover,1531.13183594
2019-09-01,Hapoel Eran Hadera,hapoel eran hadera,1242.91308594
2019-09-01,Hapoel Haifa,hapoel haifa,1260.74060059
2019-09-01,Hartberg,hartberg,1394.6505127
2019-09-01,Haugesund,haugesund,1371.32543945
2019-09-01,HB Torshavn,hb torshavn,910.455200195
2019-09-01,Hearts,hearts,1279.06286621
2019-09-01,Heerenveen,heerenveen,1419.40539551
2019-09-01,Heidenheim,heidenheim,1482.35180664
2019-09-01,Helsingborg,helsingborg,1243.0032959
2019-09-01,Heracles,heracles,1401.05065918
2019-09-01,Hermannstadt,hermannstadt,1255.56994629
2019-09-01,Hibernian,hibernian,1344.48937988
2019-09-01,Hibernians Paola,hibernians paola,1027.46923828
2019-09-01,HJK Helsinki,hjk helsinki,1226.92285156
2019-09-01,HNK Gorica,hnk gorica,1396.43444824
2019-09-01,Hobro,hobro,1289.48913574
2019-09-01,Holstein,holstein,1473.98864746
2019-09-01,Honved,honved,1294.68164062
2019-09-01,Horsens,horsens,1258.76757812
2019-09-01,Huddersfield,huddersfield,1485.08947754
2019-09-01,Huesca,huesca,1623.5958252
2019-09-01,Hull,hull,1493.39050293
2019-09-01,Iasi,iasi,1323.3494873
2019-09-01,IK Sirius,ik sirius,1252.63989258
2019-09-01,Ilichivets,ilichivets,1409.92773438
2019-09-01,Indija,indija,1128.26513672
2019-09-01,Inter Cardiff,inter cardiff,997.15423584
2019-09-01,Inter Turku,inter turku,1174.97351074
2019-09-01,Inter Zapresic,inter zapresic,1234.63928223
2019-09-01,Isloch,isloch,1185.16003418
2019-09-01,Istra 1961,istra 1961,1240.89868164
2019-09-01,Jablonec,jablonec,1440.16882324
2019-09-01,Jagiellonia,jagiellonia,1377.03613281
2019-09-01,Jeunesse Esch,jeunesse esch,1140.12060547
2019-09-01,Juve Stabia,juve stabia,1362.38684082
2019-09-01,Kairat,kairat,1336.28796387
2019-09-01,Kalmar,kalmar,1274.83996582
2019-09-01,Kaposvari,kaposvari,1198.66870117
2019-09-01,Karabakh Agdam,karabakh agdam,1475.37231445
2019-09-01,Karlsruhe,karlsruhe,1424.13964844
2019-09-01,Karpaty,karpaty,1362.12390137
2019-09-01,Karvina,karvina,1287.78881836
2019-09-01,Kasimpasa,kasimpasa,1375.72875977
2019-09-01,Kauno Zalgiris,kauno zalgiris,1182.24902344
2019-09-01,Kayseri,kayseri,1382.1583252
2019-09-01,Kfar-Saba,kfar-saba,1145.78442383
2019-09-01,Kilmarnock,kilmarnock,1359.57702637
2019-09-01,Kiryat Shmona,kiryat shmona,1276.16149902
2019-09-01,Kisvarda,kisvarda,1263.6204834
2019-09-01,Klaksvik,klaksvik,956.491088867
2019-09-01,Koeln,koeln,1576.4387207
2019-09-01,Kolos,kolos,1331.74304199
2019-09-01,Konyaspor,konyaspor,1446.95715332
2019-09-01,Korona,korona,1217.28320312
2019-09-01,Kortrijk,kortrijk,1526.72680664
2019-09-01,KR Reykjavik,kr reykjavik,1152.76757812
2019-09-01,Kristiansund,kristiansund,1351.42724609
2019-09-01,Krusevac,krusevac,1244.39453125
2019-09-01,Kryliya Sovetov,kryliya sovetov,1411.28662109
2019-09-01,Kukesi,kukesi,1203.67480469
2019-09-01,Kuopio,kuopio,1192.55639648
2019-09-01,La Fiorita,la fiorita,661.198242188
2019-09-01,Laci,laci,1174.8293457
2019-09-01,Lamia,lamia,1334.02587891
2019-09-01,Larisa,larisa,1337.7791748
2019-09-01,Larnaca,larnaca,1520.13842773
2019-09-01,Las Palmas,las palmas,1490.24230957
2019-09-01,LASK,lask,1594.37976074
2019-09-01,Le Havre,le havre,1481.42675781
2019-09-01,Le Mans,le mans,1295.75952148
2019-09-01,Lech,lech,1343.3104248
2019-09-01,Lechia,lechia,1343.19836426
2019-09-01,Leeds,leeds,1582.97924805
2019-09-01,Legia,legia,1420.39257812
2019-09-01,Lens,lens,1444.54711914
2019-09-01,Levski,levski,1401.77575684
2019-09-01,Liepajas,liepajas,1184.45959473
2019-09-01,Lincoln,lincoln,914.650878906
2019-09-01,Linfield,linfield,1067.55627441
2019-09-01,Livingston,livingston,1264.6817627
2019-09-01,Livorno,livorno,1334.15905762
2019-09-01,LKS,lks,1196.74645996
2019-09-01,Lok Moskva,lok moskva,1621.72827148
2019-09-01,Lok Plovdiv,lok plovdiv,1251.55773926
2019-09-01,Lok Zagreb,lok zagreb,1392.99914551
2019-09-01,Lorient,lorient,1467.35876465
2019-09-01,Lozinca,lozinca,1128.0065918
2019-09-01,Lubin,lubin,1311.58215332
2019-09-01,Luch Minsk,luch minsk,1103.25
2019-09-01,Lugano,lugano,1442.24853516
2019-09-01,Lugo,lugo,1478.69091797
2019-09-01,Luton,luton,1435.59570312
2019-09-01,Luzern,luzern,1415.82128906
2019-09-01,Lyngby,lyngby,1262.42077637
2019-09-01,M Tel Aviv,m tel aviv,1499.66796875
2019-09-01,Maccabi Haifa,maccabi haifa,1325.28759766
2019-09-01,Macva Sabac,macva sabac,1122.06494141
2019-09-01,Makedonija,makedonija,1106.48632812
2019-09-01,Malaga,malaga,1575.22302246
2019-09-01,Malatyaspor,malatyaspor,1439.17797852
2019-09-01,Mallorca,mallorca,1571.64245605
2019-09-01,Malmoe,malmoe,1542.59240723
2019-09-01,Maribor,maribor,1384.90661621
2019-09-01,Maritimo,maritimo,1437.46105957
2019-09-01,Matecosa Sant Julia,matecosa sant julia,754.937744141
2019-09-01,Mattersburg,mattersburg,1405.54248047
2019-09-01,Mechelen,mechelen,1400.00927734
2019-09-01,Metz,metz,1526.21130371
2019-09-01,Mezokovesd-Zsory,mezokovesd-zsory,1279.77734375
2019-09-01,Middlesbrough,middlesbrough,1534.58898926
2019-09-01,Midtjylland,midtjylland,1515.08691406
2019-09-01,Millwall,millwall,1475.39892578
2019-09-01,Milsami Orhei,milsami orhei,1126.51843262
2019-09-01,Mirandes,mirandes,1424.43041992
2019-09-01,Mjondalen,mjondalen,1280.6932373
2019-09-01,Mlada Boleslav,mlada boleslav,1433.58642578
2019-09-01,Mladost,mladost,1070.40991211
2019-09-01,Mladost Lucani,mladost lucani,1258.11975098
2019-09-01,Molde,molde,1514.8659668
2019-09-01,Moreirense,moreirense,1468.67443848
2019-09-01,Motherwell,motherwell,1303.43713379
2019-09-01,Mouscron,mouscron,1445.96582031
2019-09-01,Mura,mura,1253.26184082
2019-09-01,Nancy,nancy,1355.85583496
2019-09-01,Neftchi,neftchi,1336.86828613
2019-09-01,Neman Grodno,neman grodno,1198.97631836
2019-09-01,Netanya,netanya,1290.53796387
2019-09-01,NFC Volos,nfc volos,1279.55432129
2019-09-01,Niedercorn,niedercorn,1207.8572998
2019-09-01,Nimes,nimes,1573.22583008
2019-09-01,Niort,niort,1383.37341309
2019-09-01,Nis,nis,1398.83764648
2019-09-01,Nomme Kalju,nomme kalju,1077.21276855
2019-09-01,Nordsjaelland,nordsjaelland,1408.67163086
2019-09-01,Norrkoeping,norrkoeping,1478.06860352
2019-09-01,Novi Sad,novi sad,1293.49194336
2019-09-01,Nuernberg,nuernberg,1483.06103516
2019-09-01,Numancia,numancia,1477.05944824
2019-09-01,Odd Grenland,odd grenland,1393.63305664
2019-09-01,Odense,odense,1394.85388184
2019-09-01,Oerebro,oerebro,1308.94396973
2019-09-01,OFI,ofi,1353.48144531
2019-09-01,Olexandriya,olexandriya,1445.1875
2019-09-01,Olimpija Ljubljana,olimpija ljubljana,1374.80957031
2019-09-01,Olimpik Donetsk,olimpik donetsk,1319.84802246
2019-09-01,Olympiakos,olympiakos,1717.47033691
2019-09-01,Oostende,oostende,1416.44396973
2019-09-01,Opava,opava,1267.77868652
2019-09-01,Ordabasy,ordabasy,1304.57324219
2019-09-01,Orleans,orleans,1350.37353516
2019-09-01,Osijek,osijek,1481.66113281
2019-09-01,Osnabrueck,osnabrueck,1431.14025879
2019-09-01,Ostersund,ostersund,1335.55297852
2019-09-01,Oviedo,oviedo,1512.38586426
2019-09-01,Pacos Ferreira,pacos ferreira,1380.55493164
2019-09-01,Paksi,paksi,1258.79040527
2019-09-01,Panathinaikos,panathinaikos,1421.7824707
2019-09-01,Panetolikos,panetolikos,1317.49255371
2019-09-01,Panionios,panionios,1348.45019531
2019-09-01,PAOK,paok,1643.6472168
2019-09-01,Paris FC,paris fc,1412.80786133
2019-09-01,Partizan,partizan,1474.84753418
2019-09-01,Partizani Tirana,partizani tirana,1147.96936035
2019-09-01,Perugia,perugia,1399.69091797
2019-09-01,Pescara,pescara,1376.28613281
2019-09-01,Petrocub,petrocub,1158.27661133
2019-09-01,Piast Gliwice,piast gliwice,1384.98474121
2019-09-01,Pisa,pisa,1364.9901123
2019-09-01,Plock,plock,1275.27233887
2019-09-01,Podgorica,podgorica,1098.59008789
2019-09-01,Pogon,pogon,1347.92431641
2019-09-01,Ponferradina,ponferradina,1428.55432129
2019-09-01,Pordenone,pordenone,1379.90698242
2019-09-01,Portimonense,portimonense,1424.40380859
2019-09-01,Porto,porto,1816.34350586
2019-09-01,Preston,preston,1535.10900879
2019-09-01,Pribram,pribram,1291.96081543
2019-09-01,Prishtine,prishtine,1028.62915039
2019-09-01,Proleter Novi Sad,proleter novi sad,1168.66577148
2019-09-01,PSV,psv,1738.2598877
2019-09-01,Puskas Akademia,puskas akademia,1275.97546387
2019-09-01,Pyunik,pyunik,1233.40686035
2019-09-01,QPR,qpr,1463.84558105
2019-09-01,Raanana,raanana,1231.91015625
2019-09-01,Rad,rad,1138.35058594
2019-09-01,Radnik Bijeljina,radnik bijeljina,1270.97924805
2019-09-01,Radnik Surdulica,radnik surdulica,1188.38757324
2019-09-01,Rakow,rakow,1207.40942383
2019-09-01,Randers,randers,1346.98181152
2019-09-01,Rangers,rangers,1567.74353027
2019-09-01,Ranheim,ranheim,1261.77429199
2019-09-01,Rapid Wien,rapid wien,1518.95153809
2019-09-01,Rayo Vallecano,rayo vallecano,1581.27697754
2019-09-01,Razgrad,razgrad,1515.01525879
2019-09-01,Reading,reading,1467.12915039
2019-09-01,Regensburg,regensburg,1473.39074707
2019-09-01,Reims,reims,1590.9309082
2019-09-01,RFS,rfs,1166.52368164
2019-09-01,Rijeka,rijeka,1529.47216797
2019-09-01,Rio Ave,rio ave,1516.91748047
2019-09-01,Rizespor,rizespor,1438.92614746
2019-09-01,Rodez,rodez,1334.94628906
2019-09-01,Rosenborg,rosenborg,1498.9251709
2019-09-01,Ross County,ross county,1211.1385498
2019-09-01,Rostov,rostov,1563.08886719
2019-09-01,Rovaniemi,rovaniemi,1172.25512695
2019-09-01,Rubin Kazan,rubin kazan,1491.13134766
2019-09-01,Rudar Velenje,rudar velenje,1188.27893066
2019-09-01,Runavik,runavik,901.615234375
2019-09-01,Ruzomberok,ruzomberok,1361.99829102
2019-09-01,Sabail,sabail,1301.88000488
2019-09-01,Saburtalo,saburtalo,1217.88635254
2019-09-01,Salernitana,salernitana,1327.7713623
2019-09-01,Salzburg,salzburg,1779.5255127
2019-09-01,Sandhausen,sandhausen,1464.12646484
2019-09-01,Santa Clara,santa clara,1432.48571777
2019-09-01,Santa Coloma,santa coloma,773.99987793
2019-09-01,Santander,santander,1431.08312988
2019-09-01,Sarpsborg,sarpsborg,1344.60571289
2019-09-01,Sektzia Nes Tziona,sektzia nes tziona,1135.96069336
2019-09-01,Sepsi,sepsi,1316.22277832
2019-09-01,Servette,servette,1386.93395996
2019-09-01,Setubal,setubal,1405.08776855
2019-09-01,Shakhtar,shakhtar,1760.89599609
2019-09-01,Shamrock,shamrock,1190.47644043
2019-09-01,Sheffield Weds,sheffield weds,1526.17724609
2019-09-01,Sheriff Tiraspol,sheriff tiraspol,1298.77355957
2019-09-01,Shkendija,shkendija,1229.6385498
2019-09-01,Shkupi,shkupi,1121.07971191
2019-09-01,Sigma Olomouc,sigma olomouc,1381.47595215
2019-09-01,Silkeborg,silkeborg,1230.49047852
2019-09-01,Sion,sion,1441.33483887
2019-09-01,Siroki Brijeg,siroki brijeg,1233.4498291
2019-09-01,Sittard,sittard,1321.66467285
2019-09-01,Sivasspor,sivasspor,1431.43798828
2019-09-01,Slask,slask,1343.08789062
2019-09-01,Slaven Belupo,slaven belupo,1330.39782715
2019-09-01,Slavia Mozyr,slavia mozyr,1128.30212402
2019-09-01,Slavia Praha,slavia praha,1655.33117676
2019-09-01,Slavia Sofia,slavia sofia,1223.9263916
2019-09-01,Slovacko,slovacko,1359.31274414
2019-09-01,Slovan Bratislava,slovan bratislava,1370.64099121
2019-09-01,Slovan Liberec,slovan liberec,1390.40881348
2019-09-01,Slutsk,slutsk,1149.4284668
2019-09-01,Sochaux,sochaux,1345.9329834
2019-09-01,Sochi,sochi,1420.64855957
2019-09-01,Soligorsk,soligorsk,1426.47387695
2019-09-01,SonderjyskE,sonderjyske,1323.45556641
2019-09-01,Sparta Praha,sparta praha,1475.48840332
2019-09-01,Sparta Rotterdam,sparta rotterdam,1375.61865234
2019-09-01,Spartak Moskva,spartak moskva,1578.04101562
2019-09-01,Speranta,speranta,1145.83349609
2019-09-01,Spezia,spezia,1406.45678711
2019-09-01,Sporting,sporting,1719.27575684
2019-09-01,St Johnstone,st johnstone,1262.15600586
2019-09-01,St Josephs,st josephs,932.884399414
2019-09-01,St Mirren,st mirren,1210.15466309
2019-09-01,St Patricks,st patricks,1187.02404785
2019-09-01,St Poelten,st poelten,1370.99926758
2019-09-01,St Truiden,st truiden,1489.90002441
2019-09-01,Stabaek,stabaek,1303.83703613
2019-09-01,Standard,standard,1595.70019531
2019-09-01,Steaua,steaua,1464.67102051
2019-09-01,StGallen,stgallen,1405.21008301
2019-09-01,Stjarnan,stjarnan,1150.86486816
2019-09-01,Stoke,stoke,1477.55175781
2019-09-01,Strasbourg,strasbourg,1544.68041992
2019-09-01,Stromsgodset,stromsgodset,1269.79943848
2019-09-01,Sturm Graz,sturm graz,1472.7409668
2019-09-01,Stuttgart,stuttgart,1588.54455566
2019-09-01,Suduva,suduva,1303.60168457
2019-09-01,Sundsvall,sundsvall,1268.83911133
2019-09-01,Sutjeska,sutjeska,1053.73632812
2019-09-01,Sverdlovsk,sverdlovsk,1475.74389648
2019-09-01,Swansea,swansea,1593.54406738
2019-09-01,Tabor Sezana,tabor sezana,1120.51806641
2019-09-01,Tambov,tambov,1402.1932373
2019-09-01,Tenerife,tenerife,1495.20422363
2019-09-01,Teplice,teplice,1306.9588623
2019-09-01,Terek Grozny,terek grozny,1509.94433594
2019-09-01,Tescoma Zlin,tescoma zlin,1301.53393555
2019-09-01,Teuta Durres,teuta durres,1159.3449707
2019-09-01,The New Saints,the new saints,1042.20275879
2019-09-01,Thun,thun,1400.03613281
2019-09-01,Tobol,tobol,1278.59436035
2019-09-01,Tondela,tondela,1420.15490723
2019-09-01,Torpedo Kutaisi,torpedo kutaisi,1212.45483398
2019-09-01,Torpedo Minsk,torpedo minsk,1060.71276855
2019-09-01,Torpedo Zhodino,torpedo zhodino,1297.61120605
2019-09-01,Trabzonspor,trabzonspor,1562.95153809
2019-09-01,Trakai,trakai,1211.73815918
2019-09-01,Trans Narva,trans narva,984.49822998
2019-09-01,Trapani,trapani,1345.57141113
2019-09-01,Tre Fiori,tre fiori,707.414733887
2019-09-01,Tre Penne,tre penne,676.546081543
2019-09-01,Triglav,triglav,1099.81994629
2019-09-01,Trnava,trnava,1402.54528809
2019-09-01,Tromso,tromso,1278.90515137
2019-09-01,Troyes,troyes,1503.18579102
2019-09-01,Tsarsko Selo,tsarsko selo,1157.03051758
2019-09-01,Tula,tula,1511.40380859
2019-09-01,Twente,twente,1367.59936523
2019-09-01,Ufa,ufa,1468.39562988
2019-09-01,Ujpest,ujpest,1286.83996582
2019-09-01,Utrecht,utrecht,1525.32324219
2019-09-01,Vaduz,vaduz,1334.96496582
2019-09-01,Valenciennes,valenciennes,1385.84118652
2019-09-01,Valerenga,valerenga,1348.62597656
2019-09-01,Valletta,valletta,1074.08679199
2019-09-01,Valur,valur,1141.84814453
2019-09-01,Varazdin,varazdin,1224.8527832
2019-09-01,Venezia,venezia,1368.57958984
2019-09-01,Venlo,venlo,1381.77624512
2019-09-01,Ventspils,ventspils,1279.29443359
2019-09-01,Verona,verona,1432.19299316
2019-09-01,Videoton,videoton,1441.08862305
2019-09-01,Viitorul,viitorul,1455.20922852
2019-09-01,Viking,viking,1305.8026123
2019-09-01,Viktoria Plzen,viktoria plzen,1536.6751709
2019-09-01,Vitesse,vitesse,1547.09631348
2019-09-01,Vitosha Bistritsa,vitosha bistritsa,1092.2701416
2019-09-01,Voluntari,voluntari,1260.74462891
2019-09-01,Vorskla,vorskla,1379.82958984
2019-09-01,Vozdovac Beograd,vozdovac beograd,1206.58312988
2019-09-01,Waalwijk,waalwijk,1319.94006348
2019-09-01,Wattens,wattens,1348.16210938
2019-09-01,Wehen,wehen,1379.67871094
2019-09-01,West Brom,west brom,1619.97302246
2019-09-01,Wigan,wigan,1433.80383301
2019-09-01,Willem II,willem ii,1430.69213867
2019-09-01,Wisla,wisla,1310.93310547
2019-09-01,Xamax,xamax,1362.51489258
2019-09-01,Xanthi,xanthi,1383.48059082
2019-09-01,Young Boys,young boys,1678.15649414
2019-09-01,Zalaegerszegi,zalaegerszegi,1232.74035645
2019-09-01,Zalgiris Vilnius,zalgiris vilnius,1231.53283691
2019-09-01,Zaragoza,zaragoza,1526.38928223
2019-09-01,Zenit,zenit,1672.00622559
2019-09-01,Zeta Golubovci,zeta golubovci,1076.79614258
2019-09-01,Zlatibor,zlatibor,1243.57714844
2019-09-01,Zorya,zorya,1488.36962891
2019-09-01,Zrinjski Mostar,zrinjski mostar,1262.6685791
2019-09-01,Zuerich,zuerich,1406.31518555
2019-09-01,Zulte Waregem,zulte waregem,1473.14672852
2019-09-01,Zvyazda BDU,zvyazda bdu,1076.04711914
2019-09-01,Zwolle,zwolle,1384.00744629
2020-09-01,Aalborg,aalborg,1439.40808105
2020-09-01,Aalesund,aalesund,1184.71362305
2020-09-01,Aarhus,aarhus,1500.24206543
2020-09-01,Aberdeen,aberdeen,1419.2064209
2020-09-01,Admira,admira,1364.29394531
2020-09-01,AEK,aek,1594.91162109
2020-09-01,AIK,aik,1392.96643066
2020-09-01,Ajaccio,ajaccio,1440.28308105
2020-09-01,Ajax,ajax,1771.40185547
2020-09-01,Alanyaspor,alanyaspor,1471.93054199
2020-09-01,Alashkert,alashkert,1138.67150879
2020-09-01,Albacete,albacete,1512.43981934
2020-09-01,Alcorcon,alcorcon,1516.45458984
2020-09-01,Alkmaar,alkmaar,1633.4354248
